datahora_gmt,latitude,longitude,municipio,estado,bioma,numero_dias_sem_chuva,precipitacao,risco_fogo,frp
2025-08-12 16:20:00,-3.4712,-52.3812,Altamira,PA,Amazonia,21,0.0,0.92,48.3
2025-08-12 16:22:00,-3.4980,-52.4101,Altamira,PA,Amazonia,21,0.0,0.94,61.7
2025-08-12 16:25:00,-3.5210,-52.3650,Altamira,PA,Amazonia,20,0.0,0.88,33.1
2025-08-12 17:01:00,-4.1023,-50.1190,Maraba,PA,Amazonia,15,0.2,0.71,22.5
2025-08-12 17:03:00,-4.1150,-50.0980,Maraba,PA,Amazonia,15,0.2,0.69,19.0
2025-08-13 15:40:00,-5.7811,-53.0021,Novo Progresso,PA,Amazonia,28,0.0,0.97,88.4
2025-08-13 15:42:00,-5.8002,-53.0210,Novo Progresso,PA,Amazonia,28,0.0,0.96,75.2
2025-08-13 15:45:00,-5.7650,-52.9890,Novo Progresso,PA,Amazonia,27,0.0,0.95,69.9
2025-08-13 18:10:00,-9.9740,-67.8240,Rio Branco,AC,Amazonia,9,1.4,0.42,11.2
2025-08-14 16:55:00,-10.1820,-67.7410,Senador Guiomard,AC,Amazonia,7,3.1,0.31,8.7
2025-08-14 14:30:00,-12.5440,-55.7210,Sorriso,MT,Cerrado,18,0.0,0.83,40.6
2025-08-14 14:33:00,-12.5610,-55.7050,Sorriso,MT,Cerrado,18,0.0,0.85,52.0
2025-08-15 13:20:00,-15.6010,-56.0980,Cuiaba,MT,Cerrado,22,0.0,0.90,57.8
2025-08-15 13:25:00,-15.6230,-56.1200,Cuiaba,MT,Cerrado,22,0.0,0.91,63.4
2025-08-15 19:05:00,-2.5300,-44.3020,Sao Luis,MA,Amazonia,4,8.2,0.18,5.1
